stratum,omitted_psu,m,n,events,prevalence,auc,pr_auc,brier,calibration_intercept,calibration_slope,group
174.0,1.0,2,3073,388,0.12829439842425663,0.5970270275383336,0.18530136192412172,0.11158218277227835,-0.7059551174672184,0.686634553647956,female
174.0,2.0,2,3024,388,0.12969269337825876,0.586326290723016,0.18768921833969485,0.11287536816024821,-0.7756104895071394,0.6435240938341132,female
181.0,1.0,2,3027,378,0.13267385827664294,0.5887178510275103,0.186172362133933,0.1150361176794361,-0.7562522221489084,0.6363081323832709,female
181.0,2.0,2,3050,373,0.1253367989101309,0.5948464057968841,0.18705076871344192,0.10943721104052805,-0.7260785581065684,0.6940251545182776,female
187.0,1.0,2,3094,379,0.12643673156474505,0.5968084111330985,0.18363362360391597,0.11046857058219979,-0.7431241501364346,0.6771431882557021,female
187.0,2.0,2,3030,375,0.13160221614008513,0.5865983763494489,0.18901139225999167,0.11402141561470146,-0.7396789673570805,0.6523575880411445,female
185.0,2.0,2,3035,389,0.1299836824330605,0.596677274085829,0.18997417266363614,0.11264441029020833,-0.6900175120484918,0.6884263793648685,female
185.0,1.0,2,3037,386,0.1279824043928984,0.5865722753834595,0.18274985667809732,0.11179741217594934,-0.7939538954719787,0.6405156289713422,female
186.0,2.0,2,3048,388,0.13022644831142846,0.600016881720172,0.19079653462368332,0.11284589515874621,-0.6822583529517124,0.6927875949631769,female
186.0,1.0,2,3065,385,0.12771724933159118,0.5829605360989901,0.18191580809950034,0.1115840812255339,-0.8047971403081291,0.6345970618302815,female
173.0,1.0,2,3030,387,0.1295459923650382,0.5960342848701441,0.18645892863170588,0.11246275786223184,-0.706186595849774,0.6805015094436865,female
173.0,2.0,2,3022,383,0.12839993050527906,0.5870770116732756,0.1880674661730362,0.11197035386036269,-0.7781406777605606,0.6483565712880064,female
184.0,1.0,2,3009,383,0.13036906961709574,0.5853646971234767,0.17553926148654292,0.11391690090445766,-0.833096341826509,0.602618541344284,female
184.0,2.0,2,3059,384,0.12769094064238104,0.5977235350735706,0.19727016212713888,0.11063413402663894,-0.6598982615063685,0.721178148053951,female
179.0,2.0,2,3067,389,0.12991414618094774,0.5904019441771478,0.18559347888983524,0.11299291408542249,-0.7533167337050815,0.6529661270225061,female
179.0,1.0,2,3012,380,0.128033515334601,0.5929984660808008,0.1869744651240417,0.1114305977420043,-0.7295216691850207,0.676796500055846,female
178.0,2.0,2,3048,390,0.1294684418280319,0.5951235026833386,0.19423860104198762,0.11194476885673717,-0.6548713744538924,0.7111360677811295,female
178.0,1.0,2,3046,388,0.12850479556310984,0.5881336245625897,0.17932135030858015,0.1125003008336183,-0.8253054706411147,0.6198902823060981,female
183.0,1.0,2,3065,376,0.12892937491069634,0.5898798850394604,0.18444902358302723,0.11230954978969193,-0.7589489878347364,0.6557214536464888,female
183.0,2.0,2,3051,376,0.12904427416759,0.5935155377028861,0.1882572101767397,0.11213510294890722,-0.7241396198986677,0.6736829916435794,female
180.0,2.0,2,3045,385,0.12779163359368248,0.5930849740513979,0.1828790154158304,0.11174973148656024,-0.789072217659338,0.6454469651149444,female
180.0,1.0,2,3041,388,0.13011694824769757,0.5903641014919631,0.18987832976235927,0.11266954785205792,-0.6944446590978467,0.6841151307039024,female
177.0,2.0,2,3055,385,0.12697079418668902,0.5940500201158145,0.18782216981479116,0.11057688759005832,-0.7197859977522675,0.6881855816373676,female
177.0,1.0,2,2988,382,0.1310261514731806,0.5893700574419759,0.18479579076626007,0.11388722712387087,-0.7639930411361875,0.640946319975513,female
182.0,2.0,2,3039,381,0.1317200264196217,0.5876413636622282,0.19131311984811838,0.11395129869056989,-0.7211721317704384,0.6612693249222262,female
182.0,1.0,2,3057,374,0.1263237829067964,0.5958132250832004,0.18148488073319147,0.11053814104554473,-0.7606747349128834,0.6687520340296104,female
175.0,1.0,2,3017,385,0.12977615424172761,0.5913885367903781,0.19050338431345182,0.11255840079722888,-0.7188880851193601,0.6738970200737145,female
175.0,2.0,2,3048,385,0.12820839808819326,0.5919326993867263,0.1821991369471963,0.11189126240867238,-0.7641843996950847,0.6555098846103581,female
176.0,1.0,2,3052,370,0.12758346251631386,0.5879343519818601,0.1797530414445836,0.1116868198814478,-0.8120444366738956,0.629881275073841,female
176.0,2.0,2,3058,384,0.1304578705975948,0.5954513682049907,0.19328528985399002,0.11278403140172252,-0.67098934252128,0.6995489902707185,female
